"Current Profile for a mix of driving cycles including UDDS, US06, and HWFET",
RecordingTime,Current
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,5.164098
2.1,-0.016635
2.2,-0.016635
2.3,-0.016635
2.4,-0.016635
2.5,-0.016635
2.6,-0.016635
2.7,-0.016635
2.8,-0.016635
2.9,-0.016635
3,-0.016635
3.1,-0.016635
3.2,-0.016635
3.3,-0.016635
3.4,-0.016635
3.5,-0.016635
3.6,-0.016635
3.7,-0.016635
3.8,-0.016635
3.9,-0.016635
4,-0.016635
4.1,-0.016635
4.2,-0.016635
4.3,-0.016635
4.4,-0.016635
4.5,-0.016635
4.6,-0.016635
4.7,-0.016635
4.8,-0.016635
4.9,-0.016635
5,-0.016635
5.1,-0.016635
5.2,-0.016635
5.3,-0.016635
5.4,-0.016635
5.5,-0.016635
5.6,-0.016635
5.7,-0.016635
5.8,-0.016635
5.9,-0.016635
6,-0.016635
6.1,-0.016635
6.2,-0.016635
6.3,-0.016635
6.4,-0.016635
6.5,-0.016635
6.6,-0.016635
6.7,-0.016635
6.8,-0.016635
6.9,-0.016635
7,-0.016635
7.1,-0.016635
7.2,-0.016635
7.3,-0.016635
7.4,-0.016635
7.5,-0.016635
7.6,-0.016635
7.7,-0.016635
7.8,-0.016635
7.9,-0.016635
8,-0.016635
8.1,-0.016635
8.2,-0.016635
8.3,-0.016635
8.4,-0.016635
8.5,-0.016635
8.6,-0.016635
8.7,-0.016635
8.8,-0.016635
8.9,-0.016635
9,-0.016635
9.1,-0.016635
9.2,-0.016635
9.3,-0.016635
9.4,-0.016635
9.5,-0.016635
9.6,-0.016635
9.7,-0.016635
9.8,-0.016635
9.9,-0.016635
10,-0.016635
10.1,-0.016635
10.2,-0.016635
10.3,-0.016635
10.4,-0.016635
10.5,-0.016635
10.6,-0.016635
10.7,-0.016635
10.8,-0.016635
10.9,-0.016635
